Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1/2/2019,66.5,66.57,65.300003,65.690002,64.609894,2113300,A
1/3/2019,65.529999,65.779999,62,63.27,62.229683,5383900,A
1/4/2019,64.089996,65.949997,64.089996,65.459999,64.383667,3123700,A
1/7/2019,65.639999,67.43,65.610001,66.849998,65.750809,3235100,A
1/8/2019,67.589996,68.209999,66.699997,67.830002,66.714699,1578100,A
1/9/2019,68.199997,69.660004,68,69.25,68.111351,2442300,A
1/10/2019,69.050003,69.949997,68.599998,69.900002,68.750664,1080900,A
1/11/2019,69.290001,70.410004,68.940002,70.379997,69.222771,1210800,A
1/14/2019,69.720001,70.290001,69.669998,69.75,68.603134,2182700,A
1/15/2019,69.949997,70.75,69.620003,70.599998,69.43914,1793100,A
1/16/2019,70.82,71.129997,69.970001,70.029999,68.878532,1480300,A
1/17/2019,69.760002,71.239998,69.760002,70.82,69.65554,1225800,A
1/18/2019,71.290001,72.309998,70.849998,71.93,70.747284,1551700,A
1/22/2019,71.440002,71.480003,70.470001,71.32,70.147316,1972700,A
1/23/2019,71.949997,72.849998,70.739998,71.650002,70.471893,2050300,A
1/24/2019,71.459999,72.199997,71.389999,72.18,70.993179,1509600,A
1/25/2019,72.790001,73.730003,72.559998,73.650002,72.439011,2215300,A
1/28/2019,72.760002,73.279999,72.410004,73.269997,72.065247,1729600,A
1/29/2019,73.699997,74.059998,73.199997,73.559998,72.350471,1684500,A
1/30/2019,73.739998,75.589996,73.480003,75.440002,74.199577,1679500,A
1/31/2019,75.209999,76.309998,74.669998,76.050003,74.799545,2951300,A
2/1/2019,76.160004,76.589996,75.620003,76.040001,74.789719,1343900,A
2/4/2019,76.18,76.230003,75.32,76.029999,74.779877,2245900,A
2/5/2019,75.800003,76.510002,75.790001,76.309998,75.055267,1593500,A
2/6/2019,76.110001,76.690002,76,76.300003,75.045433,1504900,A
2/7/2019,75.720001,76.120003,74.870003,75.330002,74.091385,1660600,A
2/8/2019,75.07,75.809998,74.760002,75.800003,74.553658,1318100,A
2/11/2019,76,76.389999,75.75,76.080002,74.829056,1018000,A
2/12/2019,76.800003,77.25,76.43,77.07,75.802773,2045500,A
2/13/2019,77.370003,77.489998,76.739998,77.25,75.979805,1376400,A
2/14/2019,77,77.279999,76.519997,77.019997,75.753586,1618100,A
2/15/2019,77.629997,78.309998,77.470001,78.300003,77.01255,1919700,A
2/19/2019,78,78.32,77.410004,77.519997,76.245361,2968000,A
2/20/2019,77.529999,78.800003,77.330002,78.559998,77.26828,2076500,A
2/21/2019,77.669998,78.580002,76.5,77.889999,76.609291,3570800,A
2/22/2019,78.160004,78.459999,77.830002,78.419998,77.130569,2797700,A
2/25/2019,78.900002,79.839996,78.849998,79.339996,78.035439,1878000,A
2/26/2019,79.209999,79.269997,78.419998,78.550003,77.258446,1992600,A
2/27/2019,78.25,79.550003,78.25,79.419998,78.114136,1254400,A
2/28/2019,79.18,79.75,78.889999,79.440002,78.133797,1759100,A
3/1/2019,80,81.440002,80,81.239998,79.904213,1625900,A
3/4/2019,81.5,81.760002,79.529999,80.129997,78.812454,3204100,A
3/5/2019,80.019997,80.029999,79.360001,79.739998,78.428871,1405600,A
3/6/2019,79.82,79.980003,78.730003,78.75,77.455147,1750500,A
3/7/2019,78.690002,79.099998,78.010002,78.730003,77.435478,1818100,A
3/8/2019,78.18,78.239998,77.400002,77.980003,76.697807,1483500,A
3/11/2019,78.279999,79.470001,78.260002,79.300003,77.996117,1210900,A
3/12/2019,79.580002,80.129997,79.160004,79.93,78.615746,1532300,A
3/13/2019,80.220001,80.739998,80.019997,80.129997,78.812454,1529100,A
3/14/2019,80.059998,80.669998,80.059998,80.610001,79.284561,1268500,A
3/15/2019,80.860001,81.43,80.830002,81.099998,79.76651,1999100,A
3/18/2019,81.099998,81.290001,80.489998,80.970001,79.638641,1617700,A
3/19/2019,81.269997,81.769997,81.029999,81.199997,79.864853,1172600,A
3/20/2019,81.279999,81.440002,80.25,80.919998,79.589478,1768300,A
3/21/2019,80.550003,82.269997,80.550003,82,80.651711,986600,A
3/22/2019,81.540001,81.68,78.970001,78.989998,77.6912,1435800,A
3/25/2019,79.089996,79.860001,78.660004,79.519997,78.212486,923000,A
3/26/2019,80.389999,81.040001,80.129997,80.650002,79.323906,1428200,A
3/27/2019,80.5,80.769997,78.889999,79,77.701042,1446100,A
3/28/2019,79.389999,79.790001,78.709999,79.699997,78.389519,1615600,A
3/29/2019,80.160004,80.669998,79.949997,80.379997,79.05835,1585100,A
4/1/2019,80.959999,81.769997,80.959999,81.559998,80.38295,1522700,A
4/2/2019,81.709999,81.760002,81.029999,81.139999,79.969017,1203000,A
4/3/2019,81.540001,82.019997,81.459999,81.940002,80.757484,2141000,A
4/4/2019,81.839996,82.050003,80.440002,80.830002,79.663483,2180100,A
4/5/2019,81.190002,81.919998,81.050003,81.470001,80.294266,1502900,A
4/8/2019,81.57,81.709999,80.580002,81.690002,80.51107,783300,A
4/9/2019,81.559998,81.720001,81.269997,81.419998,80.244965,1254700,A
4/10/2019,81.449997,82.239998,81.449997,81.68,80.501228,982900,A
4/11/2019,81.879997,81.919998,80.889999,81.080002,79.909882,1071500,A
4/12/2019,81.43,82.059998,80.900002,80.980003,79.811325,1249300,A
4/15/2019,81,81.129997,79.910004,80.400002,79.239685,1627300,A
4/16/2019,80.82,80.959999,77.190002,77.550003,76.430824,3441500,A
4/17/2019,78.150002,78.32,74.459999,75.43,74.341423,4472000,A
4/18/2019,75.730003,76.540001,75.309998,76.169998,75.070747,2874100,A
4/22/2019,75.93,76.720001,75.129997,75.57,74.479393,2016000,A
4/23/2019,74.279999,76.800003,73.760002,75.559998,74.469543,4607100,A
4/24/2019,75.839996,76.629997,75.43,75.790001,74.696228,1942700,A
4/25/2019,75.260002,77.040001,74.940002,76.720001,75.612808,1481400,A
4/26/2019,76.980003,77.459999,76.300003,77.419998,76.302696,1608900,A
4/29/2019,77.470001,78.440002,77.32,77.330002,76.214012,2177700,A
4/30/2019,77.440002,78.589996,77.379997,78.5,77.367119,1726200,A
5/1/2019,78.489998,78.919998,77.279999,77.470001,76.351982,1078600,A
5/2/2019,77.410004,78.339996,77.150002,78.199997,77.071442,946800,A
5/3/2019,78.580002,79.559998,78.580002,79.290001,78.145714,1303200,A
5/6/2019,77.620003,79.410004,77.209999,79.349998,78.204849,1624300,A
5/7/2019,78.589996,78.769997,76.029999,76.669998,75.56353,1732200,A
5/8/2019,76.779999,77.300003,76.129997,76.610001,75.504395,2243600,A
5/9/2019,75.669998,77.059998,74.849998,77,75.888763,1717500,A
5/10/2019,76.639999,77.139999,74.089996,77.099998,75.98732,2849800,A
5/13/2019,75.75,75.910004,73.230003,73.839996,72.774353,3547300,A
5/14/2019,74.43,76.669998,74.300003,76.010002,74.913063,2557700,A
5/15/2019,67.360001,69.900002,66.239998,67.639999,66.663841,14523800,A
5/16/2019,67.599998,69.419998,67.599998,69.300003,68.299889,4567700,A
5/17/2019,68.440002,69.870003,68.190002,69.110001,68.112633,3935700,A
5/20/2019,68.660004,69.970001,68.639999,68.93,67.935234,4029700,A
5/21/2019,69.370003,70.440002,68.25,68.32,67.334023,3928200,A
5/22/2019,68.169998,68.639999,67.510002,67.970001,66.989082,4985400,A
5/23/2019,67.18,67.849998,66.029999,67.699997,66.722977,5358500,A
5/24/2019,68.139999,69.889999,68.080002,68.360001,67.373459,3852900,A
5/28/2019,68.43,68.860001,66.959999,67.080002,66.111923,2984700,A
5/29/2019,66.589996,67.989998,66.589996,67.300003,66.328743,3722100,A
5/30/2019,67.589996,67.900002,66.730003,66.889999,65.924667,2947900,A
5/31/2019,66.239998,67.559998,66.07,67.050003,66.082359,2829300,A
6/3/2019,67.040001,68.099998,66.82,66.989998,66.023224,2560600,A
6/4/2019,67.660004,68,66.410004,67.949997,66.969368,4402800,A
6/5/2019,68.610001,69.010002,67.889999,68.349998,67.363602,2289200,A
6/6/2019,68.519997,69.68,68.519997,69.160004,68.161919,2469000,A
6/7/2019,69.699997,70.220001,69.330002,69.519997,68.516708,1547400,A
6/10/2019,69.68,70.550003,69.360001,70.290001,69.275597,1477100,A
6/11/2019,72.25,72.599998,69.809998,70.089996,69.078491,1748200,A
6/12/2019,70.080002,70.290001,68.93,70.290001,69.275597,1546800,A
6/13/2019,70.559998,70.709999,69.889999,70.300003,69.285454,1886900,A
6/14/2019,70.309998,70.449997,69.739998,69.970001,68.960213,1602700,A
6/17/2019,70.25,70.599998,69.889999,70.290001,69.275597,1149200,A
6/18/2019,70.800003,72.220001,70.57,71.910004,70.872223,2350400,A
6/19/2019,71.889999,72.730003,71.889999,72.650002,71.60154,1916700,A
6/20/2019,73.220001,73.419998,72.360001,73.32,72.261871,2077800,A
6/21/2019,73.139999,73.540001,72.550003,73.339996,72.28157,3096200,A
6/24/2019,73.330002,73.68,72.260002,73.139999,72.084473,1251600,A
6/25/2019,73.190002,73.629997,72.410004,72.510002,71.463562,1340400,A
6/26/2019,72.639999,73.18,72.040001,72.139999,71.098907,1583800,A
6/27/2019,72.550003,73.279999,72.199997,73.190002,72.133751,1480200,A
6/28/2019,73.260002,74.699997,73.099998,74.669998,73.592377,3159700,A
7/1/2019,75.599998,75.889999,74.919998,75.779999,74.850761,2753200,A
